
================================================================================
Started Logging:     25.09.2024  13:26
Quantum Version:     Not available
================================================================================

25.09.2024 13:26:21 QC-Terminal: Serial port COM2

25.09.2024 13:26:28 QC-Terminal: Serial port COM3
help

WAR 08:47:19:999  01 Access_Para PG not mapped
WAR 08:47:20:059  01 Access_Para PG not mapped
WAR 08:47:20:163  01 Access_Para PG not mapped
WAR 08:47:20:224  01 Access_Para PG not mapped
WAR 08:47:20:329  01 Access_Para PG not mapped
WAR 08:47:20:389  01 Access_Para PG not mapped
WAR 08:47:20:493  01 Access_Para PG not mapped
WAR 08:47:20:554  01 Access_Para PG not mapped
WAR 08:47:20:658  01 Access_Para PG not mapped
WAR 08:47:20:719  01 Access_Para PG not mapped
WAR 08:47:20:824  01 Access_Para PG not mapped
WAR 08:47:20:884  01 Access_Para PG not mapped
WAR 08:47:20:989  01 Access_Para PG not mapped
WAR 08:47:21:049  01 Access_Para PG not mapped
WAR 08:47:21:153  01 Access_Para PG not mapped
WAR 08:47:21:214  01 Access_Para PG not mapped
WAR 08:47:21:319  01 Access_Para PG not mapped
WAR 08:47:21:379  01 Access_Para PG not mapped
WAR 08:47:21:483  01 Access_Para PG not mapped
WAR 08:47:21:543  01 Access_Para PG not mapped
WAR 08:47:21:603  01 Access_Para PG not mapped
WAR 08:47:21:663  01 Access_Para PG not mapped
WAR 08:47:21:724  01 Access_Para PG not mapped
WAR 08:47:21:783  01 Access_Para PG not mapped
WAR 08:47:21:843  01 Access_Para PG not mapped
WAR 08:47:21:903  01 Access_Para PG not mapped
WAR 08:47:21:963  01 Access_Para PG not mapped
WAR 08:47:22:024  01 Access_Para PG not mapped
WAR 08:47:22:084  01 Access_Para PG not mapped
WAR 08:47:22:143  01 Access_Para PG not mapped
WAR 08:47:22:203  01 Access_Para PG not mapped
WAR 08:47:22:263  01 Access_Para PG not mapped
WAR 08:47:22:324  01 Access_Para PG not mapped
WAR 08:47:22:384  01 Access_Para PG not mapped
WAR 08:47:22:489  01 Access_Para PG not mapped
WAR 08:47:22:549  01 Access_Para PG not mapped
WAR 08:47:22:653  01 Access_Para PG not mapped
WAR 08:47:22:714  01 Access_Para PG not mapped
WAR 08:47:22:818  01 Access_Para PG not mapped
WAR 08:47:22:879  01 Access_Para PG not mapped
WAR 08:47:22:983  01 Access_Para PG not mapped
WAR 08:47:23:043  01 Access_Para PG not mapped
WAR 08:47:23:104  01 Access_Para PG not mapped
WAR 08:47:23:209  01 Access_Para PG not mapped
WAR 08:47:23:269  01 Access_Para PG not mapped
WAR 08:47:23:329  01 Access_Para PG not mapped
WAR 08:47:23:389  01 Access_Para PG not mapped
WAR 08:47:23:449  01 Access_Para PG not mapped
WAR 08:47:23:509  01 Access_Para PG not mapped
WAR 08:47:23:568  01 Access_Para PG not mapped
WAR 08:47:23:628  01 Access_Para PG not mapped
WAR 08:47:23:689  01 Access_Para PG not mapped
WAR 08:47:23:749  01 Access_Para PG not mapped
WAR 08:47:23:808  01 Access_Para PG not mapped
WAR 08:47:23:868  01 Access_Para PG not mapped
WAR 08:47:23:929  01 Access_Para PG not mapped
WAR 08:47:23:988  01 Access_Para PG not mapped
WAR 08:47:24:049  01 Access_Para PG not mapped
WAR 08:47:24:109  01 Access_Para PG not mapped
WAR 08:47:24:169  01 Access_Para PG not mapped
WAR 08:47:24:228  01 Access_Para PG not mapped
WAR 08:47:24:289  01 Access_Para PG not mapped
WAR 08:47:24:349  01 Access_Para PG not mapped
WAR 08:47:24:409  01 Access_Para PG not mapped
DEB 08:47:24:449  7a PS => SN_LSS_WAIT_BOOTUP
WAR 08:47:24:469  01 Access_Para PG not mapped
DEB 08:47:24:469  1 Node addressing succ. - bootup rec.7a
DEB 08:47:24:489  1 Node 7a Check SW-Version
DEB 08:47:24:489  Node 7a has DL state 0x4 due to missing HW spec
DEB 08:47:24:489  MsgTableID_SNUUX: INMS_NCTRL_NODESTATE SubMsg: 04 Node 7a CFG_DONE 83
DEB 08:47:24:490  7a INMS_NCTRL_NODESTATE: NUUX NC 21
WAR 08:47:24:779  01 Access_Para PG not mapped
WAR 08:47:24:839  01 Access_Para PG not mapped
WAR 08:47:24:899  01 Access_Para PG not mapped
WAR 08:47:24:959  01 Access_Para PG not mapped
WAR 08:47:25:019  01 Access_Para PG not mapped
WAR 08:47:25:079  01 Access_Para PG not mapped
WAR 08:47:25:138  01 Access_Para PG not mapped
WAR 08:47:25:199  01 Access_Para PG not mapped
WAR 08:47:25:259  01 Access_Para PG not mapped
WAR 08:47:25:319  01 Access_Para PG not mapped
WAR 08:47:25:379  01 Access_Para PG not mapped
WAR 08:47:25:439  01 Access_Para PG not mapped
WAR 08:47:25:499  01 Access_Para PG not mapped
WAR 08:47:25:559  01 Access_Para PG not mapped
WAR 08:47:25:663  01 Access_Para PG not mapped
WAR 08:47:25:724  01 Access_Para PG not mapped
WAR 08:47:25:829  01 Access_Para PG not mapped
WAR 08:47:25:889  01 Access_Para PG not mapped
WAR 08:47:25:993  01 Access_Para PG not mapped
WAR 08:47:26:054  01 Access_Para PG not mapped
WAR 08:47:26:159  01 Access_Para PG not mapped
WAR 08:47:26:219  01 Access_Para PG not mapped
WAR 08:47:26:324  01 Access_Para PG not mapped
WAR 08:47:26:384  01 Access_Para PG not mapped
WAR 08:47:26:489  01 Access_Para PG not mapped
WAR 08:47:26:549  01 Access_Para PG not mapped
WAR 08:47:26:653  01 Access_Para PG not mapped
WAR 08:47:26:714  01 Access_Para PG not mapped
WAR 08:47:26:818  01 Access_Para PG not mapped
WAR 08:47:26:879  01 Access_Para PG not mapped
WAR 08:47:26:984  01 Access_Para PG not mapped
WAR 08:47:27:044  01 Access_Para PG not mapped
WAR 08:47:27:149  01 Access_Para PG not mapped
WAR 08:47:27:209  01 Access_Para PG not mapped
WAR 08:47:27:313  01 Access_Para PG not mapped
WAR 08:47:27:374  01 Access_Para PG not mapped
WAR 08:47:27:479  01 Access_Para PG not mapped
WAR 08:47:27:539  01 Access_Para PG not mapped
WAR 08:47:27:599  01 Access_Para PG not mapped
WAR 08:47:27:658  01 Access_Para PG not mapped
WAR 08:47:27:719  01 Access_Para PG not mapped
WAR 08:47:27:779  01 Access_Para PG not mapped
WAR 08:47:27:839  01 Access_Para PG not mapped
WAR 08:47:27:899  01 Access_Para PG not mapped
WAR 08:47:27:959  01 Access_Para PG not mapped
WAR 08:47:28:019  01 Access_Para PG not mapped
WAR 08:47:28:079  01 Access_Para PG not mapped
WAR 08:47:28:139  01 Access_Para PG not mapped
WAR 08:47:28:199  01 Access_Para PG not mapped
WAR 08:47:28:259  01 Access_Para PG not mapped
WAR 08:47:28:319  01 Access_Para PG not mapped
WAR 08:47:28:379  01 Access_Para PG not mapped
WAR 08:47:28:483  01 Access_Para PG not mapped
WAR 08:47:28:544  01 Access_Para PG not mapped
WAR 08:47:28:649  01 Access_Para PG not mapped
WAR 08:47:28:709  01 Access_Para PG not mapped
WAR 08:47:28:813  01 Access_Para PG not mapped
WAR 08:47:28:874  01 Access_Para PG not mapped
WAR 08:47:28:979  01 Access_Para PG not mapped
WAR 08:47:29:039  01 Access_Para PG not mapped
WAR 08:47:29:099  01 Access_Para PG not mapped
WAR 08:47:29:203  01 Access_Para PG not mapped
WAR 08:47:29:263  01 Access_Para PG not mapped
WAR 08:47:29:324  01 Access_Para PG not mapped
WAR 08:47:29:383  01 Access_Para PG not mapped
WAR 08:47:29:444  01 Access_Para PG not mapped
WAR 08:47:29:503  01 Access_Para PG not mapped
WAR 08:47:29:563  01 Access_Para PG not mapped
WAR 08:47:29:624  01 Access_Para PG not mapped
WAR 08:47:29:683  01 Access_Para PG not mapped
WAR 08:47:29:743  01 Access_Para PG not mapped
WAR 08:47:29:803  01 Access_Para PG not mapped
WAR 08:47:29:863  01 Access_Para PG not mapped
WAR 08:47:29:924  01 Access_Para PG not mapped
WAR 08:47:29:983  01 Access_Para PG not mapped
WAR 08:47:30:043  01 Access_Para PG not mapped
WAR 08:47:30:103  01 Access_Para PG not mapped
WAR 08:47:30:163  01 Access_Para PG not mapped
WAR 08:47:30:224  01 Access_Para PG not mapped
WAR 08:47:30:284  01 Access_Para PG not mapped
WAR 08:47:30:343  01 Access_Para PG not mapped
WAR 08:47:30:403  01 Access_Para PG not mapped
WAR 08:47:30:464  01 Access_Para PG not mapped
DEB 08:47:30:464  1 Node 7a set to OPERATIONAL !
WAR 08:47:30:485  1 Node 7a NMS_k_HBEAT_OPERATIONAL
DEB 08:47:30:514  1 Guarding started Node : 7a!
DEB 08:47:30:514  1 Node 7a wait for OPERATIONAL
WAR 08:47:30:514  01 Access_Para PG not mapped
DEB 08:47:30:514  1 Node 7a operational
DEB 08:47:30:515  xx Remapp_Node 7a not supported
DEB 08:47:30:515  7a INMS_NCTRL_NODE_EVT_HB: SubMsg 05 - CAN 1
DEB 08:47:30:515  1 NMS_k_HBEAT_(PRE)OPERATIONAL (2) node 7a
WAR 08:47:30:573  01 Access_Para PG not mapped
WAR 08:47:30:634  01 Access_Para PG not mapped
DEB 08:47:30:634  1 Node 7a maps to all SpS 5
